Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
SC,4200051,Abdon Batista,Centro,centro,-27.6154895,-51.0197697,brasil_aberto,True
SC,4200101,Abelardo Luz,Centro,centro,-26.5682782,-52.33018089999999,brasil_aberto,True
SC,4200200,Agrolândia,Centro,centro,-27.4104835,-49.8289655,brasil_aberto,True
SC,4200309,Agronômica,Centro,centro,-27.2645004,-49.71075219999999,brasil_aberto,True
SC,4200705,Alfredo Wagner,Arnópolis,arnopolis,-27.6175419,-49.4385278,brasil_aberto,True
SC,4200705,Alfredo Wagner,Catuíra,catuira,-27.6631147,-49.4002351,brasil_aberto,True
SC,4200705,Alfredo Wagner,Centro,centro,-27.7017214,-49.3339121,brasil_aberto,True
SC,4200705,Alfredo Wagner,São Leonardo,sao leonardo,-27.6715594,-49.20120989999999,brasil_aberto,True
SC,4200754,Alto Bela Vista,Centro,centro,-27.4318976,-51.9078862,brasil_aberto,True
SC,4200903,Angelina,Barra Clara,barra clara,-27.5296176,-49.1243854,brasil_aberto,True
SC,4200903,Angelina,Betania,betania,-27.5206914,-48.9285843,brasil_aberto,True
SC,4200903,Angelina,Centro,centro,-27.5831223,-48.98387049999999,brasil_aberto,True
SC,4200903,Angelina,Garcia,garcia,-27.4904406,-48.991694,brasil_aberto,True
SC,4201000,Anita Garibaldi,Centro,centro,-27.6854895,-51.1310503,brasil_aberto,True
SC,4201000,Anita Garibaldi,Lagoa da Estiva,lagoa da estiva,-27.747598,-51.0265728,brasil_aberto,True
SC,4201109,Anitápolis,Centro,centro,-27.9027377,-49.1267495,brasil_aberto,True
SC,4201257,Apiúna,Centro,centro,-28.2395725,-48.6618567,brasil_aberto,True
SC,4201273,Arabutã,Centro,centro,-27.1023899,-48.9162815,brasil_aberto,True
SC,4201273,Arabutã,Nova Estrela,nova estrela,-27.1503161,-52.2041269,brasil_aberto,True
SC,4201307,Araquari,Centro,centro,-26.3709519,-48.72267739999999,brasil_aberto,True
SC,4201307,Araquari,Itapocu,itapocu,-26.5449835,-48.7153778,brasil_aberto,True
SC,4201406,Araranguá,Alto Feliz,alto feliz,-28.9419696,-49.4920859,brasil_aberto,True
SC,4201406,Araranguá,Arapongas,arapongas,-28.9399093,-49.45823439999999,brasil_aberto,True
SC,4201406,Araranguá,Balneário de Ilhas (Hercílio Luz),balneario de ilhas (hercilio luz),-28.9088632,-49.3324185,brasil_aberto,True
SC,4201406,Araranguá,Barranca,barranca,-28.93459,-49.4940004,brasil_aberto,True
SC,4201406,Araranguá,Caverazinho,caverazinho,-28.9576406,-49.4706383,brasil_aberto,True
SC,4201406,Araranguá,Centro,centro,-28.9345758,-49.4852043,brasil_aberto,True
SC,4201406,Araranguá,Centro Cívico,centro civico,-28.9568555,-49.4987971,brasil_aberto,True
SC,4201406,Araranguá,Cidade Alta,cidade alta,-28.9434382,-49.4936343,brasil_aberto,True
SC,4201406,Araranguá,Coloninha,coloninha,-28.9411391,-49.4735965,brasil_aberto,True
SC,4201406,Araranguá,Hercílio Luz (Hercílio Luz),hercilio luz (hercilio luz),-28.9117053,-49.3600284,brasil_aberto,True
SC,4201406,Araranguá,Industrial,industrial,-28.9370964,-49.4840256,brasil_aberto,True
SC,4201406,Araranguá,Jardim Cibeli,jardim cibeli,-28.9434909,-49.5148433,brasil_aberto,True
SC,4201406,Araranguá,Jardim das Avenidas,jardim das avenidas,-28.9495262,-49.4584688,brasil_aberto,True
SC,4201406,Araranguá,Lagoa da Serra,lagoa da serra,-28.9478912,-49.4536979,brasil_aberto,True
SC,4201406,Araranguá,Lagoão,lagoao,-28.9601559,-49.4952283,brasil_aberto,True
SC,4201406,Araranguá,Mato Alto,mato alto,-28.9542296,-49.5049513,brasil_aberto,True
SC,4201406,Araranguá,Morro dos Conventos,morro dos conventos,-28.9391761,-49.3738146,brasil_aberto,True
SC,4201406,Araranguá,Nova Divinéia,nova divineia,-28.9538734,-49.4855243,brasil_aberto,True
SC,4201406,Araranguá,Operária,operaria,-28.9510154,-49.5250367,brasil_aberto,True
SC,4201406,Araranguá,Polícia Rodoviária,policia rodoviaria,-28.9680744,-49.5284198,brasil_aberto,True
SC,4201406,Araranguá,Sanga da Areia,sanga da areia,-28.9944718,-49.5494373,brasil_aberto,True
SC,4201406,Araranguá,Sanga da Toca,sanga da toca,-28.9982483,-49.5789316,brasil_aberto,True
SC,4201406,Araranguá,Sanga da Toca 1ª,sanga da toca 1ª,-29.010406,-49.5742459,brasil_aberto,True
SC,4201406,Araranguá,Santa Bárbara,santa barbara,-28.9544578,-49.51328239999999,brasil_aberto,True
SC,4201406,Araranguá,Santa Catarina,santa catarina,-28.9551499,-49.5260369,brasil_aberto,True
SC,4201406,Araranguá,Santa Rosa de Lima,santa rosa de lima,-28.9346077,-49.4605845,brasil_aberto,True
SC,4201406,Araranguá,Urussanguinha,urussanguinha,-28.9496245,-49.4809957,brasil_aberto,True
SC,4201406,Araranguá,Vila São José,vila sao jose,-28.9275141,-49.478775,brasil_aberto,True
SC,4201406,Araranguá,Área Rural de Araranguá,area rural de ararangua,-28.9370964,-49.4840256,brasil_aberto,True
SC,4201505,Armazém,Centro,centro,-28.2598503,-49.0157564,brasil_aberto,True
SC,4201604,Arroio Trinta,Centro,centro,-26.9320066,-51.3357325,brasil_aberto,True
SC,4201653,Arvoredo,Centro,centro,-27.0744484,-52.4579853,brasil_aberto,True
